field_1,field_2,field_3
115.739809540417056,-32.049151906515959,-13.833000000000000
115.739807661890524,-32.049149867184134,-13.827000000000000
115.739808611496628,-32.049150904994448,-13.821999999999999
115.739811673188512,-32.049150078459441,-13.847000000000000
115.739804906652523,-32.049146880974511,-13.760999999999999
115.739805824982781,-32.049147882390777,-13.779999999999999
115.739806743313025,-32.049148883807014,-13.802000000000000
115.739808886550918,-32.049147064875378,-13.804000000000000
115.739809804881205,-32.049148066291593,-13.826000000000001
115.739810681716463,-32.049149004149783,-13.887000000000000
115.739812835791653,-32.049147167284261,-13.897000000000000
115.739813785768646,-32.049148178035871,-13.901999999999999
115.739803101144290,-32.049144923555623,-13.692000000000000
115.739804029940970,-32.049145934096728,-13.706000000000000
115.739807080795373,-32.049145125495649,-13.731999999999999
115.739808020182181,-32.049146136142021,-13.743000000000000
115.739810957141529,-32.049145136972029,-13.879000000000000
115.739811927927818,-32.049146174992906,-13.867000000000001
115.739814990361225,-32.049145294340484,-13.938000000000001
115.739815908815174,-32.049146286737098,-13.964000000000000
115.739797546618519,-32.049142937884383,-13.472000000000000
115.739798391930535,-32.049143857387676,-13.534000000000001
115.739801326911973,-32.049143002530798,-13.603000000000000
115.739802224432793,-32.049143976677833,-13.643000000000001
115.739805191802574,-32.049143077038948,-13.718999999999999
115.739806099789931,-32.049144060310809,-13.750000000000000
115.739809151385970,-32.049143197592350,-13.795000000000000
115.739810059496975,-32.049144171844617,-13.835000000000001
115.739813142739649,-32.049143318461468,-13.880000000000001
115.739814082126500,-32.049144329107797,-13.894000000000000
115.739816129311578,-32.049142563345782,-13.935000000000000
115.739817089507824,-32.049143601261306,-13.930000000000000
115.739817997742534,-32.049144566493972,-13.973000000000001
115.739794916978724,-32.049140061172650,-13.345000000000001
115.739795803909345,-32.049141035214447,-13.379000000000000
115.739796670154306,-32.049141972967448,-13.432000000000000
115.739798728300599,-32.049140180252337,-13.449999999999999
115.739799594545588,-32.049141118005316,-13.500999999999999
115.739800481599900,-32.049142083027519,-13.542999999999999
115.739802572134550,-32.049140245530431,-13.561999999999999
115.739803438379553,-32.049141183283389,-13.617000000000001
115.739804335900374,-32.049142157430403,-13.653000000000000
115.739806427176660,-32.049140265815936,-13.694000000000001
115.739807324821129,-32.049141230943384,-13.731999999999999
115.739808191189837,-32.049142159676769,-13.794000000000000
115.739810355731365,-32.049140331936101,-13.808999999999999
